kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori
殳,6bb3,1-61-53,,,79,,4,,,shu1;su;수;Thù;シュ;また;ほこ,pike;windy-again radical (no. 79),
殷,6bb7,1-61-54,,,79;4,,10,,,yin1;yan1;yin3;eun;an;은;안;Ân;An;Ẩn;イン;アン;さかん,flourishing,
殼,6bbc,1-61-55,,,79,,12,,,ke2;qiao4;que4;gag;각;Xác;カク;コク;バイ;から,husk;nut shell,
毆,6bc6,1-61-56,,,79,,15,,,ou1;gu;구;Ẩu;オウ;ク;なぐ.る;たた.く,beat;fight with fists;hit;to strike;brawl,
毋,6bcb,1-61-57,,,80,,4,,,wu2;mu;무;Vô;Mưu;ブ;ム;はは;ぼ;ない;なか.れ,do not;must not;be not;mother radical (no. 80),
毓,6bd3,1-61-58,,,80,,14,,,yu4;yug;육;Dục;イク;そだ.つ;そだ.てる;はぐく.む,bring up;grow up;raise;rear,りゅう
毟,6bdf,1-61-59,,,82;4,,8,,,mo;모;Mô;むし.る,pluck;pick;tear;(kokuji),
毬,6bec,1-61-60,,,82,9.0,11,2431.0,1.0,qiu2;gu;구;Cầu;キュウ;いが;まり,burr;ball,
毫,6beb,1-61-61,,,82;8,,11,,,hao2;ho;호;Hào;ゴウ;コウ;ごう.も;すこし,fine hair;brush;not at all,
毳,6bf3,1-61-62,,,82,,12,,,cui4;chwi;취;Thuế;Thúy;ゼイ;セイ;セツ;けば;むくげ,nap;down;fluff,
毯,6bef,1-61-63,,,82,,12,,,tan3;dam;담;Thảm;タン,wool rug,
麾,9ebe,1-61-64,,,200,,15,,,hui1;hwi;휘;Huy;キ;さしまね.く;さしずばた,beckon to;command,
氈,6c08,1-61-65,,,82,,17,,,zhan1;jeon;전;Chiên;セン;もうせん,woollen cloth or rug,
氓,6c13,1-61-66,,,83;8,,8,,,mang2;meng2;maeng;맹;Manh;ボウ;たみ,people,
气,6c14,1-61-67,,,84,,4,,,qi4;gi;기;Khí;Khất;キ;ケ;いき,spirit;steam radical (no. 84),
氛,6c1b,1-61-68,,,84,,8,,,fen1;bun;분;Phân;フン,air;atmosphere;weather,
